Activity ID and name*,Data element ID*,Data element label*,FHIR Mapping,Description and definition*,Data Type,Input Options,Quantity subtype,Calculation,Validation condition,Optionality*,Explain conditionality,Functional grouping of data elements,Linkages to decision-support tables,Linkages to scheduling logic tables,Linkages to aggregate indicators,Annotations,CIEL,International Classification of Diseases 11th Revision (ICD-11) code*,ICD-11 Uniform Resource Identifier (URI),ICD-11 code title,ICD-11 relationship,"ICD-11
comments and considerations","International Classification of Diseases 10th Revision (ICD-10)
code*",ICD-10 code title,ICD-10 relationship,"ICD-10
comments and considerations",Logical Observation Identifiers Names and Codes (LOINC) version 2.73 code*,LOINC version 2.73 long common name,LOINC version 2.73 relationship,"LOINC version 2.73
comments and considerations","International Classification of Health Interventions (ICHI) (Beta 3)
code*","ICHI
comments and considerations","International Classification of Functioning, Disability and Health (ICF)
category*",ICF URI,Systematized Nomenclature of Medicine Clinical Terms (SNOMED) Global Patient Set (GPS) code*,SNOMED GPS preferred name,"SNOMED GPS
relationship","SNOMED GPS
comments and considerations"
MOZ.Registration,MOZ.Registration.DE.141,Employment,,Employment status of the patient.,coding,"Unemployed
Formal employment
Informal employment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.142,Unemployed,,Indicates that the patient is not employed.,codes,,,,,,,,,,,,,,,,,,,,,,LA17956-6,,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.143,Formal employment,,Indicates that the patient has formal employment.,codes,,,,,,,,,,,,165219,,,,,,,,,,LA33155-5,,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.144,Informal employment,,Indicates that the patient is engaged in informal employment.,codes,,,,,,,,,,,,,,,,,,,,,,LA32458-4,,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.145,How many people do you live with?,,Number of individuals living in the same household as the patient.,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.146,Do you have a source of income?,,Indicates whether the patient has a source of income.,coding,"Yes
No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.147,Yes,,Confirms that the patient has a source of income.,codes,,,,,,,,,,,,,,,,,,,,,,LA33-6,,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.148,No,,Indicates that the patient does not have a source of income.,codes,,,,,,,,,,,,,,,,,,,,,,LA32-8,,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.149,Profile,,Socioeconomic classification or category assigned to the patient.,coding,"Unemployed or Indigent
Spouse of Beneficiary
Blood Donor
Chronic Patient
Domestic Worker
Boarding Student
Aged 60 years or older
Unable to work
Retirees and Pensioners",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.150,Unemployed or Indigent,,Indicates that the patient is unemployed or classified as indigent.,codes,,,,,,,,,,,,123801,,,,,,,,,,LA17956-6,,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.151,Spouse of Beneficiary,,Indicates that the patient is a spouse of a registered beneficiary.,codes,,,,,,,,,,,,,,XE454,,,,,,,,LA9398-4,,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.152,Blood Donor,,Indicates that the patient is registered as a blood donor.,codes,,,,,,,,,,,,,,QB20,,,,,,,,,,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.153,Chronic Patient,,Indicates that the patient is classified as a chronic patient.,codes,,,,,,,,,,,,,,,,,,,,,,LA4634-7,,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.154,Domestic Worker,,Indicates that the patient is a domestic worker.,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.155,Boarding Student,,Indicates that the patient is a boarding student.,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.156,Aged 60 years or older,,Indicates that the patient is aged 60 years or older.,codes,,,,,,,,,,,,,,,,,,,,,,LA16058-2,,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.157,Unable to work,,Indicates that the patient is unable to work.,codes,,,,,,,,,,,,,,,,,,,,,,LA32461-8/LA32460-0,,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.158,Retirees and Pensioners,,Indicates that the patient is a retiree or pensioner.,codes,,,,,,,,,,,,,,,,,,,,,,LA17991-3,,,,,,,,,,,
Register Relationship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.159,Realtionship type,,Type of relationship between the patient and the registered contact person.,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.160,Mother,,Indicates the patient’s mother.,codes,,,,,,,,,,,,,,,,,,,,,,"LA10417-6
",,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.161,Father,,Indicates the patient’s father.,codes,,,,,,,,,,,,,,,,,,,,,,74026-6,,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.162,Son/Daughter,,Indicates the patient’s son or daughter.,codes,,,,,,,,,,,,,,,,,,,,,,LA34420-2,,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.163,Partner,,Indicates the patient’s partner or spouse.,codes,,,,,,,,,,,,,,,,,,,,,,LA9398-4,,,,,,,,,,,
MOZ.Registration,MOZ.Registration.DE.164,Newborn,,"Indicates that the patient is a newborn infant in the neonatal period, used when registering a mother–child relationship context.",boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
