Activity ID and name*,Data element ID*,Data element label*,Data element Description,Data type*,Input option,List to include this data element in,Quantity subtype,Calculation,Validation condition,Optionality*,Explain conditionality,Functional grouping of data elements,Linkages to decision-support tables,Linkages to scheduling logic tables,Linkages to aggregate indicators,Annotations,International Classification of Diseases 11th Revision (ICD-11) code*,ICD-11 Uniform Resource Identifier (URI),ICD-11 code title,ICD-11 relationship,"ICD-11
comments and considerations","International Classification of Diseases 10th Revision (ICD-10)
code*",ICD-10 code title,ICD-10 relationship,"ICD-10
comments and considerations",Logical Observation Identifiers Names and Codes (LOINC) version 2.73 code*,LOINC version 2.73 long common name,LOINC version 2.73 relationship,"LOINC version 2.73
comments and considerations","International Classification of Health Interventions (ICHI) (Beta 3)
code*","ICHI
URI",ICHI code title,ICHI relationship,"ICHI
comments and considerations","International Classification of Functioning, Disability and Health (ICF)
category*",ICF URI,ICF category name,ICF relationship,"ICF
comments and considerations",Anatomical Therapeutic Chemical (ATC) code*,ATC substance name,ATC relationship,ATC comments and considerations,Systematized Nomenclature of Medicine Clinical Terms (SNOMED) Global Patient Set (GPS) code*,SNOMED GPS preferred name,"SNOMED GPS
relationship","SNOMED GPS
comments and considerations"
MISAU.C.HIV,MISAU.C.DE88,Key Population Group,"The specific key population group(s) to which the patient belongs, used to tailor HIV prevention, care, and support services. MSM option hidden for female patients.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE89,Key Population State,The current enrolment status within the key population programme for each identified group.,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE90,Offer of Lubricants and Condoms,"Records whether lubricants and/or condoms were provided to the patient during the consultation, an essential harm reduction intervention.",boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE91,PP1 – Sexual Behaviour & Safe Sex / Condom Provision,Records whether counselling on safe sexual behaviour and condom use was provided during this session.,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE92,PP2 – Serostatus Disclosure to Partner & Partner Testing,Records whether counselling on disclosing HIV status to the sexual partner and inviting the partner for HIV testing was conducted.,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE93,PP3 – Importance of Adherence to Pre-ART and ART,Records whether counselling on the importance of adhering to both pre-ART care and ART treatment was provided.,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE94,PP4 – Sexually Transmitted Infections,Records whether STI prevention and treatment counselling was conducted during this session.,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE95,"PP5 – Family Planning, Safe Pregnancy & PMTCT","Records whether counselling on family planning, safe pregnancy, and PMTCT was provided.",boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE96,PP6 – Alcohol and Other Drug Use,Records whether counselling on the impact of alcohol and drug use on ART adherence and HIV progression was conducted.,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE97,PP7 – Referral to Community Support Services,"Records whether the patient was referred or linked to community support services such as social protection, food programmes, or peer support.",boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE98,Has Patient Disclosed Serostatus to Anyone?,"Records whether the patient has informed any person in their life about their HIV-positive status, which is a key indicator of psychosocial readiness and support.",boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE99,Kinship of Person Disclosed To,"The relationship of the person the patient has chosen to disclose their HIV status to, enabling assessment of social support networks.",boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE100,All Contacts with Unknown Serostatus Tested?,"Records whether all contacts of the patient (sexual partners, needle-sharing partners, children <15, parents of children ≤15) with unknown HIV status have been tested.",boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE101,Who Administers ARVs?,"For children, adolescents, elderly patients, and those with physical or mental disability, documents the name of the person responsible for administering the patient's ARV medication.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE102,ARV Administrator Kinship,The relationship of the caregiver who administers the patient's ARV drugs to the patient.,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE103,Doses Forgotten in Last 2 Weeks,The number of ART doses the patient reports having missed in the 14 days prior to the consultation. Used to calculate the adherence percentage.,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE104,Adherence Assessment Classification,"Calculated adherence category based on the proportion of doses taken: Good (>87%), At-Risk (78–87%), or Poor (<78%). Calculated as (doses taken ÷ doses prescribed) × 100.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE105,Adherence Percentage,The calculated percentage of prescribed doses that the patient actually took over the last 2 weeks.,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE106,Delay in Appointments (days),The number of days by which the patient was late for their scheduled clinical appointment. Used to identify appointment adherence patterns.,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE107,Delay in ARV Collection at Pharmacy (days),The number of days by which the patient was late collecting their antiretroviral medication from the pharmacy. Indicates pharmacy-level adherence.,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE108,Following Adherence Plan?,"Records whether the patient is following their individualised adherence plan, covering correct dosing schedule, timing, and what to do if doses are missed or during travel.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE109,Can Health Unit Service Be Improved?,"Asks the patient for their feedback on the quality of services received at the health unit, supporting patient-centred quality improvement.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE110,Suggestions for Service Improvement,"The specific area(s) the patient identifies for improving the health unit's service, used to inform quality improvement plans.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE111,AMA Reason,The specific reason(s) why this patient requires an Adherence Strengthening (AMA) session. Guides the content and intensity of adherence support interventions.,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE112,Adherence Plan,"The specific intervention(s) or strategies selected as part of the patient's personalised adherence plan, addressing the identified barriers and reasons for poor adherence.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE113,Support Group – Mother-to-Mother (MPM),"Records enrolment status in the Mother-to-Mother support group, which provides peer support for HIV-positive mothers on ART.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE114,Support Group – Parents and Caregivers (PC),"Records enrolment status in the Parents and Caregivers support group, for caregivers of HIV-positive children.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE115,Support Group – Disclosed Child/Adolescent (AR),Records enrolment status in the support group for children and adolescents whose HIV diagnosis has been fully disclosed to them.,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE116,Support Group – Peer Education / Mentor Mother (MM),"Records enrolment status in the Peer Education Mentor Mother programme, where experienced HIV-positive mothers support newly diagnosed mothers.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE117,Support Group – Peer Education / Adolescent & Youth (AJM),Records enrolment status in the Adolescent and Youth peer education programme for HIV-positive young people.,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE118,Support Group – Champion Man (HC),"Records enrolment status in the Champion Man peer education programme, engaging HIV-positive men as peer educators and advocates.",coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE119,Support Group – Other (specify),Free text description for any support group the patient is enrolled in that is not covered by the standard list.,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alternative & Line Treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE119,Suspected Therapeutic Failure?,"Records whether the clinician suspects that the patient's current ART regimen is failing to suppress viral load, based on clinical and/or laboratory criteria. A Yes response triggers submission to the Therapeutic Committee. The system preserves all historical entries for audit.",boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE120,Therapeutic Committee Submission ID,The unique identifier assigned to the case when submitted to the multi-disciplinary Therapeutic Committee for review and approval of a line change.,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE121,Date of Therapeutic Committee Approval,The date on which the Therapeutic Committee formally approved the recommended ART regimen change for this patient.,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE122,Alternative or Line Change,Classifies the type of regimen modification — either a substitution within the same ART line (Alternative) or an escalation to a higher ART line (Line Change).,boolean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE123,Reason for Alternative or Line Change,"The clinical justification for the regimen modification. Toxicity and side effects, therapeutic failure, pregnancy, initiation of TB treatment, or another reason.",string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.C.HIV,MISAU.C.DE124,Reason – Other (specify),Free text description for the regimen change reason when 'Other' is selected from the standard justification list.,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
