Activity ID and name*,Data element ID*,Data element label*,FHIR Mapping,Description and definition*,Data Type,Input Options,Quantity subtype,Calculation,Validation condition,Optionality*,Explain conditionality,Functional grouping of data elements,Linkages to decision-support tables,Linkages to scheduling logic tables,Linkages to aggregate indicators,Annotations,CIEL,International Classification of Diseases 11th Revision (ICD-11) code*,ICD-11 Uniform Resource Identifier (URI),ICD-11 code title,ICD-11 relationship,"ICD-11
comments and considerations","International Classification of Diseases 10th Revision (ICD-10)
code*",ICD-10 code title,ICD-10 relationship,"ICD-10
comments and considerations",Logical Observation Identifiers Names and Codes (LOINC) version 2.73 code*,LOINC version 2.73 long common name,LOINC version 2.73 relationship,"LOINC version 2.73
comments and considerations","International Classification of Health Interventions (ICHI) (Beta 3)
code*","ICHI
comments and considerations","International Classification of Functioning, Disability and Health (ICF)
category*",ICF URI,Systematized Nomenclature of Medicine Clinical Terms (SNOMED) Global Patient Set (GPS) code*,SNOMED GPS preferred name,"SNOMED GPS
relationship","SNOMED GPS
comments and considerations"
MISAU.E.Pharmacy,MISAU.E.DE139,VR (via rectal),,Administration of medicine administered via the rectal route.,codes,,,,,,,,,,,,,,,,,,,,,,LA9369-5,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE140,Dose,,Prescribed amount of medication to be administered to the patient.,coding,,,,,,,,,,,,,,,,,,,,,,LP7791-9,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE141,0.5,,Dose value indicating 0.5 units of the prescribed medication.,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE142,1,,Dose value indicating 1 unit of the prescribed medication.,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE143,1.5,,Dose value indicating 1.5 units of the prescribed medication.,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE144,2,,Dose value indicating 2 units of the prescribed medication.,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE145,2.5,,Dose value indicating 2.5 units of the prescribed medication.,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE146,3,,Dose value indicating 3 units of the prescribed medication.,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE147,3.5,,Dose value indicating 3.5 units of the prescribed medication.,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE148,4,,Dose value indicating 4 units of the prescribed medication.,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE149,4.5,,Dose value indicating 4.5 units of the prescribed medication.,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE150,5,,Dose value indicating 5 units of the prescribed medication.,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE151,Drug Form,,Pharmaceutical formulation or physical form of the medication.,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE152,Treatment duration ,,Total duration of the prescribed treatment regimen for the patient.,Numeric,,,,,,,,,,,,,,,,,,,,,,67453-1,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE153,Duration Unit,,Unit used to express the duration of the prescribed treatment.,coding,"Days
Weeks
Months
Years
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE154,Days,,Treatment duration measured in days.,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE155,Weeks,,Treatment duration measured in weeks.,codes,,,,,,,,,,,,,,,,,,,,,,LA9000-6,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE156,Months,,Treatment duration measured in months.,codes,,,,,,,,,,,,,,,,,,,,,,LA9001-4,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE157,Years,,Treatment duration measured in years.,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE158,Frequency,,How often the medication should be administered within a given time period.,coding,"4/4 hours
6 hours
8/8 hours
12/12 hours
24/7
DU (Single Dose)
SOS
",,,,,,,,,,,,,,,,,,,,,LP187186-4,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE159,Prescribed quantity,,Total quantity of medication prescribed to the patient.,Numeric,,,,,,,,,,,,,,,,,,,,,,82774-1,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE160,Instructions,,Special directions or guidance for how the medication should be taken or used.,string,,,,,,,,,,,,,,,,,,,,,,LP6820-7,,,,,,,,,,,
Register Dietary Prescription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE161,Diet type,,Type of diet prescribed for the patient based on clinical or nutritional needs.,coding,"Normal
Liquid
Semi-liquid
Mole
Band
Restricted
Assodica
Hyposodic
Hypersodium
Normosodic
Low-calorie
High-calorie
Normocaloric
Hypoliquid
Hyperliquid
Normoliquid
Hypoproteic
Hyperproteic
Normoproteic
Diabetic
Renal
Vegetarian
Lactose-free
",,,,,,,,,,,,,,,,,,,,,	81663-7,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE162,Normal,,Diet consisting of a standard balanced nutritional intake without restrictions.,codes,,,,,,,,,,,,,,,,,,,,,,	LA15487-4,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE163,Liquid,,Diet consisting mainly of liquids for easier digestion or clinical management.,codes,,,,,,,,,,,,,,,,,,,,,,LA25011-0,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE164,Semi-liquid,,Diet consisting of semi-liquid foods for patients with limited chewing or swallowing ability.,codes,,,,,,,,,,,,,,,,,,,,,,LA25011-0,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE165,Soft,,Diet consisting of soft foods that are easy to chew and digest.,codes,,,,,,,,,,,,,,,,,,,,,,	LA26131-5,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE166,Bland,,Diet consisting of mild foods that avoid strong spices or irritants.,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38226001,,,
MISAU.E.Pharmacy,MISAU.E.DE167,Restricted,,Diet with general dietary restrictions based on clinical condition.,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE168,Low-sodium,,Diet with reduced sodium intake to manage conditions such as hypertension.,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386619000,,,
MISAU.E.Pharmacy,MISAU.E.DE169,Reduced-sodium,,Diet with moderately reduced sodium intake for clinical management.,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE170,High-sodium,,Diet with increased sodium intake based on medical requirement.,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE171,Normal-sodium,,Diet with standard sodium intake.,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE172,Low-calorie,,Diet with reduced caloric intake for weight or metabolic management.,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE173,High-calorie,,Diet with increased caloric intake to support energy or recovery needs.,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE174,Normal-calorie,,Diet with standard caloric intake.,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE175,Low-fluid,,Diet with restricted fluid intake to manage medical conditions.,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE176,High-fluid,,Diet with increased fluid intake based on clinical requirement.,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE177,Normal-fluid,,Diet with normal fluid intake.,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE178,Low-protein,,Diet with reduced protein intake for clinical management.,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE179,High-protein,,Diet with increased protein intake for recovery or nutritional support.,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE180,Normal-protein,,Diet with normal protein intake.,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE181,Diabetic,,Diet designed for patients with diabetes mellitus.,codes,,,,,,,,,,,,,,,,,,,,,,LA26134-9,,,,,,,,160670007,,,
MISAU.E.Pharmacy,MISAU.E.DE182,Renal,,Diet designed for patients with kidney-related conditions.,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33489005,,,
MISAU.E.Pharmacy,MISAU.E.DE183,Vegetarian,,Diet excluding meat and animal-derived products.,codes,,,,,,,,,,,,152693,,,,,,,,,,,,,,,,,,300928006,,,
MISAU.E.Pharmacy,MISAU.E.DE184,Lactose-free,,Diet excluding lactose-containing foods.,codes,,,,,,,,,,,,,,,,,,,,,,LA25813-9,,,,,,,,78502005,,,
MISAU.E.Pharmacy,MISAU.E.DE185,Route of Administration,,Route through which food or nutritional support is administered to the patient.,coding,"Oral
Tube (via feeding tube)
Parenteral",,,,,,,,,,,,,,,,,,,,,,,,,,,,,410675002,,,
MISAU.E.Pharmacy,MISAU.E.DE186,Oral,,Administration of nutrition through the mouth (oral feeding).,codes,,,,,,,,,,,,160240,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE187,Tube (via feeding tube),,Administration of nutrition via a feeding tube directly into the gastrointestinal tract.,codes,,,,,,,,,,,,,,,,,,,,,,"LA28170-1
",,,,,,,,25062003,,,
MISAU.E.Pharmacy,MISAU.E.DE188,Parenteral,,"Administration of nutrition delivered directly into the bloodstream, bypassing the gastrointestinal tract.",codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LP75347-2,,,
MISAU.E.Pharmacy,MISAU.E.DE189,Further observations (free text field),,Additional notes or remarks related to the nutritional prescription or feeding process.,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE190,Frequency,,Frequency at which nutrition is provided to the patient.,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE191,Duration,,Total duration for which the nutritional regimen is prescribed.,Numeric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Register Therapeutic Prescription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE192,Prescription,,Type or details of the therapeutic prescription issued to the patient.,string,,,,,,,,,,,,,,,,,,,,,,LP181204-1,,,,,,,,16076005,,,
MISAU.E.Pharmacy,MISAU.E.DE193,Further comments,,Additional clinical notes or remarks related to the therapeutic prescription.,string,,,,,,,,,,,,,,,,,,,,,,LP74431-5,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE194,Date,,Date when the therapeutic prescription was issued or recorded.,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE195,Prescriber,,Name or identifier of the clinician who issued the prescription.,string,,,,,,,,,,,,,,,,,,,,,,LP172755-3,,,,,,,,,,,
ART prescription,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE196,Special Prescription,,Type of prescription categorized under antiretroviral therapy (ART) management.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182816009,,,
MISAU.E.Pharmacy,MISAU.E.DE197,Therapeutic Regimen,,Specific ART therapeutic regimen prescribed to the patient.,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE198,Therapeutic Line,,Line of ART treatment used for the patient’s management.,coding,"First Line
First Alternative Line
Second Line
Third Line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE199,First Line,,Initial standard ART treatment line for first-time therapy.,codes,,,,,,,,,,,,,XM3U67 ,,,,,T37.5,,,,,,,,,,,,708255002,,,
MISAU.E.Pharmacy,MISAU.E.DE200,First Alternative Line,,Alternative first-line ART regimen used when standard first-line is not suitable.,codes,,,,,,,,,,,,,XM3U67 ,,,,,T37.5,,,,,,,,,,,,708255002,,,
MISAU.E.Pharmacy,MISAU.E.DE201,Second Line,,Second-line ART regimen used after failure or change from first-line treatment.,codes,,,,,,,,,,,,,XM3U67 ,,,,,T37.5,,,,,,,,,,,,427314002,,,
MISAU.E.Pharmacy,MISAU.E.DE202,Third Line,,Third-line ART regimen used for complex or resistant cases.,codes,,,,,,,,,,,,,XM3U67 ,,,,,T37.5,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE203,Duration,,Duration for which the ART prescription is intended.,coding,"One Week
Two Weeks
A month
Two Months
Three Months
Six Months
",,,,,,,,,,,,,,,,,,,,,LP14744-4,,,,,,,,103335007,,,
MISAU.E.Pharmacy,MISAU.E.DE204,One Week,,ART treatment duration of one week.,codes,,,,,,,,,,,,,,,,,,,,,,LA6308-6,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE205,Two Weeks,,ART treatment duration of two weeks.,codes,,,,,,,,,,,,,,,,,,,,,,LA18875-7,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE206,A month,,ART treatment duration of one month.,codes,,,,,,,,,,,,,,,,,,,,,,LA6304-5,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE207,Two Months,,ART treatment duration of two months.,codes,,,,,,,,,,,,,,,,,,,,,,LA6304-5,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE208,Three Months,,ART treatment duration of three months.,codes,,,,,,,,,,,,,,,,,,,,,,LA6304-5,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE209,Six Months,,ART treatment duration of six months.,codes,,,,,,,,,,,,,,,,,,,,,,LA6304-5,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE210,Clinician Name,,Name of the clinician responsible for prescribing the ART regimen.,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE211,Date of next refill,,Date scheduled for the patient’s next medication refill or pickup.,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE212,Patient status,,Current treatment status of the patient within the care program.,coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE213,First consultation,,Indicates that the patient is attending the initial consultation or starting treatment.,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE214,Subsequent consultations,,Indicates that the patient is attending a follow-up or maintenance consultation.,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE215,Change of Line?,,Indicates whether the patient’s therapeutic treatment line has changed.,coding,"Yes
No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE216,Yes,,Confirms that the patient’s therapeutic line has changed.,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE217,No,,Indicates that the patient’s therapeutic line has not changed.,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE218,Reason for change,,Reason for changing the patient’s therapeutic treatment line.,coding,"Therapeutic Failure
Allergy
Other",,,,,,,,,,,,,,,,,,,,,83849-0	,,,,,,,,,,,
,,Therapeutic Failure,,Indicates that the therapeutic line change was due to treatment failure.,codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Allergy,,Indicates that the therapeutic line change was due to an allergic reaction or intolerance.,codes,,,,,,,,,,,,,,,,,,,,,,	106165-4,,,,,,,,,,,
,,Other,,Indicates another reason for changing the therapeutic line.,codes,,,,,,,,,,,,5622,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE219,Specify reason (free text field),,Free text field used to provide additional details about the reason for the therapeutic line change.,codes,,,,,,,,,,,,,,,,,,,,,,LA12724-3,,,,,,,,,,,
"PrEP,TB,TPT prescription",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE220,Special Prescription,,Indicates whether the prescription is classified as a special prescription.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE221,Reason for Prescription,,Clinical justification or reason for issuing the prescription.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE222,Therapeutic Regimen,,Therapeutic regimen prescribed for the patient.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE223,Duration (of the prescription),,Duration for which the prescription is intended to be used.,,"One Week
Two Weeks
One Month
Two Months
Three Months
Six Months",,,,,,,,,,,,,,,,,,,,,LP14744-4,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE224,One Week,,Prescription duration of one week.,,,,,,,,,,,,,,,,,,,,,,,LA14462-8,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE225,Two Weeks,,Prescription duration of two weeks.,,,,,,,,,,,,,,,,,,,,,,,LA14462-8,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE226,One Month,,Prescription duration of one month.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE227,Two Months,,Prescription duration of two months.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE228,Three Months,,Prescription duration of three months.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE229,Six Months,,Prescription duration of six months.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE230,Clinician Name,,Name of the clinician responsible for issuing the prescription.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE231,FNM code,,FNM code identifying the medication in the national formulary.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE232,Medication name (Single Selection List),,Name of the prescribed medication selected from a predefined medication list.,,mediaction list,,,,,,,,,,,,,,,,,,,,,LP74145-1,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE233,Dose,,Amount of medication to be administered to the patient.,,,,,,,,,,,,,,,,,,,,,,,LP7791-9,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE234,Dosage Instructions,,Instructions describing how often the medication should be administered.,,"Every 4 hours
Every 6 hours
Every 8 hours
Every 12 hours
Every 24 hours
SD (Single Dose)
SOS",,,,,,,,,,,,,,,,,,,,,LP61561-4,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE235,Every 4 hours,,Medication administration scheduled every 4 hours.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE236,Every 6 hours,,Medication administration scheduled every 6 hours.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE237,Every 8 hours,,Medication administration scheduled every 8 hours.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE238,Every 12 hours,,Medication administration scheduled every 12 hours.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE239,Every 24 hours,,Medication administration scheduled every 24 hours.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE240,SD (Single Dose),,Medication intended for a single administration dose.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE241,SOS,,Medication administered only when necessary or as needed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE242,Prescribed Quantity,,Total quantity of medication prescribed to the patient.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE243,Dispensed Quantity,,Quantity of medication dispensed to the patient.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE244,Dispensing Type,,Method or schedule used for dispensing the prescribed medication.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE245,Next refill date,,Date scheduled for the patient’s next medication refill or pickup.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE246,Patient status,,Current treatment status of the patient within the care program.,,"Initiation
Maintenance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE247,Initiation,,Indicates that the patient is starting treatment or attending the first consultation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE248,Maintenance,,Indicates that the patient is continuing treatment under maintenance or follow-up care.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.E.Pharmacy,MISAU.E.DE249,Dispensing Mode,,Method or schedule used for dispensing medication to the patient.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
