Activity ID and name*,Data element ID*,Data element label*,Description and definition*,Data type*,List to include this data element in,Quantity subtype,Calculation,Validation condition,Optionality*,Explain conditionality,Functional grouping of data elements,Linkages to decision-support tables,Linkages to scheduling logic tables,Linkages to aggregate indicators,Annotations,Logical Observation Identifiers Names and Codes (LOINC) version 2.73 code*,CIEL Uniform Resource Identifier (URI),CIEL code title,ICD-11 relationship,"ICD-11
comments and considerations","International Classification of Diseases 10th Revision (ICD-10)
code*",ICD-10 code title,ICD-10 relationship,"ICD-10
comments and considerations",LOINC version 2.73 long common name,LOINC version 2.73 relationship,"LOINC version 2.73
comments and considerations","International Classification of Health Interventions (ICHI) (Beta 3)
code*","ICHI
URI",ICHI code title,ICHI relationship,"ICHI
comments and considerations","International Classification of Functioning, Disability and Health (ICF)
category*",ICF URI,ICF category name,ICF relationship,"ICF
comments and considerations",Anatomical Therapeutic Chemical (ATC) code*,ATC substance name,ATC relationship,ATC comments and considerations,Systematized Nomenclature of Medicine Clinical Terms (SNOMED) Global Patient Set (GPS) code*,SNOMED GPS preferred name,"SNOMED GPS
relationship","SNOMED GPS
comments and considerations"
MISAU.B.Outpatient consultation,MISAU.B.DE47,Terminal:  Discharge / Completed  (auto-triggered when CPP enrolment created),,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE48,,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    CPP – Postpartum Consultation — Additional Enrollment Field,,,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE42,,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE43,Place of Delivery,"Records where the patient delivered her baby, used to link the newborn's birth record and auto-populate CPP data. Auto",Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE44,  PI – Institutional Delivery,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE45,Health Unit  (single selection list — current HU auto-filled),,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE46,Province,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE47, District,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE48,Health Unit name,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE49, PFM – Out-of-Hospital Delivery,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE50,Date of Delivery,The actual date on which the baby was delivered.,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MISAU.B.DE51,,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   CPP Service — Enrolment States,,,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE42,State — CPP Service,The enrolment status of the patient within the Postpartum Consultation (CPP) programme.,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE43,Initial:    Active,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE44,Intermediate:  Transferred to another Health Unit,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE45,Terminal:  Discharged — High (auto-triggered 42 days post-delivery if no further events),,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE46,Terminal:  Discharged by Referral — to CCR,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE47,Terminal:  Discharged by Referral — to CCS,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE48,Terminal:  Discharged by Referral — to CCD,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE49,Terminal:  Discharged by Referral — to CPF (Family Planning),,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE50,,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  TB SERVICE – ADDITIONAL ENROLLMENT FIELDS  ,,,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE42,TB Provenance / Origin,Records where the TB case was identified or referred from. This drives appropriate clinical pathway selection and reporting.,Coding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE43,Same Health Unit (internal detection),,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE44,Another Public Health Unit,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE45,Private Provider,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE46,Community Agent,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE47,,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE48,Type of TB (Sensitivity),"Classifies the patient's TB disease by drug sensitivity, which determines the treatment regimen and service type.",Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE49, Drug-Sensitive TB,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE50,Drug-Resistant TB (MDR-TB / XDR-TB),,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE51,Treatment Duration (months),The planned total duration of the TB treatment regimen in months. Entering this value automatically populates the TB Treatment Start Date with today's date.,Quantity,,Integer quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,TB Treatment Start Date,The date on which TB treatment commenced. Auto-filled with the current system date as soon as the Treatment Duration field is completed.,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TB Services — Enrolment States,,,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE42,State — TB Sensitive / Paediatric TB,The enrolment status of the patient within the Drug-Sensitive TB or Paediatric TB programme. State is set automatically based on whether the patient is a transfer-in.,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE43,"Initial:    Active, not a programme  (no transfer checkbox ticked)",,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE44,Initial:    Transferred from another Health Unit  (transfer checkbox ticked — auto-set),,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE45,Terminal:  Death,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE46,Terminal:  Cured,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE47,State — Drug-Resistant TB (XDR-TB),The enrolment status of the patient within the Drug-Resistant (XDR) TB programme.,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE48,"Initial:    Active, not a programme  (no transfer checkbox ticked)",,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE49,Initial:    Transferred from another Health Unit  (transfer checkbox ticked — auto-set),,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE50,Terminal:  Death,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE51,Terminal:  Cured,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE52,,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE53,State — Drug-Resistant TB (XDR-TB),The enrolment status of the patient within the Drug-Resistant (XDR) TB programme.,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE54,"Initial:    Active, not a programme",,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE55,Initial:    Transferred from another Health Unit,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE56,Terminal:  Death,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE57,Terminal:  Cured,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE58,State — TPT (TB Preventive Therapy),The enrolment status of the patient within the TB Preventive Therapy (TPT) programme.,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE59,"Initial:    Active, not a programme",,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE60,Initial:    Transferred from another Health Unit,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MISAU.B.Outpatient consultation,MISAU.B.DE61, Terminal:  (To be defined by MISAU),,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Codes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
